x,interpolated_y
-3.63664,-20.0082
-3.61762,-19.5525
-3.5986,-19.1032
-3.57958,-18.6603
-3.56056,-18.2237
-3.54154,-17.7933
-3.52252,-17.3693
-3.5035,-16.9514
-3.48448,-16.5396
-3.46547,-16.134
-3.44645,-15.7345
-3.42743,-15.341
-3.40841,-14.9535
-3.38939,-14.5719
-3.37037,-14.1962
-3.35135,-13.8265
-3.33233,-13.4625
-3.31331,-13.1043
-3.29429,-12.7519
-3.27528,-12.4052
-3.25626,-12.0641
-3.23724,-11.7287
-3.21822,-11.3988
-3.1992,-11.0745
-3.18018,-10.7557
-3.16116,-10.4423
-3.14214,-10.1344
-3.12312,-9.83181
-3.1041,-9.53456
-3.08509,-9.24261
-3.06607,-8.95591
-3.04705,-8.67442
-3.02803,-8.39809
-3.00901,-8.12689
-2.98999,-7.86078
-2.97097,-7.59971
-2.95195,-7.34364
-2.93293,-7.09253
-2.91391,-6.84634
-2.89489,-6.60503
-2.87588,-6.36856
-2.85686,-6.13689
-2.83784,-5.90996
-2.81882,-5.68776
-2.7998,-5.47022
-2.78078,-5.25731
-2.76176,-5.049
-2.74274,-4.84523
-2.72372,-4.64597
-2.7047,-4.45117
-2.68569,-4.2608
-2.66667,-4.07481
-2.64765,-3.89316
-2.62863,-3.71582
-2.60961,-3.54273
-2.59059,-3.37386
-2.57157,-3.20916
-2.55255,-3.04861
-2.53353,-2.89214
-2.51451,-2.73973
-2.4955,-2.59132
-2.47648,-2.44689
-2.45746,-2.30639
-2.43844,-2.16977
-2.41942,-2.037
-2.4004,-1.90803
-2.38138,-1.78282
-2.36236,-1.66134
-2.34334,-1.54354
-2.32432,-1.42937
-2.30531,-1.31881
-2.28629,-1.2118
-2.26727,-1.1083
-2.24825,-1.00828
-2.22923,-0.911689
-2.21021,-0.818491
-2.19119,-0.728642
-2.17217,-0.642102
-2.15315,-0.558828
-2.13413,-0.47878
-2.11512,-0.401917
-2.0961,-0.328196
-2.07708,-0.257577
-2.05806,-0.190018
-2.03904,-0.125479
-2.02002,-0.0639166
-2.001,-0.0052908
-1.98198,0.05044
-1.96296,0.103317
-1.94394,0.153382
-1.92492,0.200676
-1.90591,0.24524
-1.88689,0.287116
-1.86787,0.326345
-1.84885,0.362968
-1.82983,0.397027
-1.81081,0.428563
-1.79179,0.457617
-1.77277,0.48423
-1.75375,0.508445
-1.73473,0.530301
-1.71572,0.549841
-1.6967,0.567106
-1.67768,0.582138
-1.65866,0.594976
-1.63964,0.605663
-1.62062,0.614241
-1.6016,0.62075
-1.58258,0.625231
-1.56356,0.627726
-1.54454,0.628277
-1.52553,0.626924
-1.50651,0.623709
-1.48749,0.618673
-1.46847,0.611858
-1.44945,0.603304
-1.43043,0.593054
-1.41141,0.581147
-1.39239,0.567626
-1.37337,0.552532
-1.35435,0.535906
-1.33534,0.51779
-1.31632,0.498224
-1.2973,0.47725
-1.27828,0.45491
-1.25926,0.431244
-1.24024,0.406293
-1.22122,0.3801
-1.2022,0.352705
-1.18318,0.32415
-1.16416,0.294475
-1.14515,0.263722
-1.12613,0.231933
-1.10711,0.199148
-1.08809,0.16541
-1.06907,0.130758
-1.05005,0.0952343
-1.03103,0.0588804
-1.01201,0.0217373
-0.992993,-0.0161537
-0.973974,-0.0547514
-0.954955,-0.0940146
-0.935936,-0.133902
-0.916917,-0.174372
-0.897898,-0.215385
-0.878879,-0.256897
-0.85986,-0.298869
-0.840841,-0.341259
-0.821822,-0.384026
-0.802803,-0.427129
-0.783784,-0.470526
-0.764765,-0.514176
-0.745746,-0.558038
-0.726727,-0.60207
-0.707708,-0.646233
-0.688689,-0.690483
-0.66967,-0.734781
-0.650651,-0.779084
-0.631632,-0.823352
-0.612613,-0.867544
-0.593594,-0.911617
-0.574575,-0.955532
-0.555556,-0.999247
-0.536537,-1.04272
-0.517518,-1.08591
-0.498498,-1.12878
-0.479479,-1.17128
-0.46046,-1.21337
-0.441441,-1.25502
-0.422422,-1.29618
-0.403403,-1.33681
-0.384384,-1.37687
-0.365365,-1.41632
-0.346346,-1.45511
-0.327327,-1.49321
-0.308308,-1.53057
-0.289289,-1.56715
-0.27027,-1.60292
-0.251251,-1.63783
-0.232232,-1.67184
-0.213213,-1.7049
-0.194194,-1.73698
-0.175175,-1.76804
-0.156156,-1.79803
-0.137137,-1.82692
-0.118118,-1.85465
-0.0990991,-1.8812
-0.0800801,-1.90652
-0.0610611,-1.93057
-0.042042,-1.9533
-0.023023,-1.97468
-0.004004,-1.99467
0.015015,-2.01322
0.034034,-2.03029
0.0530531,-2.04584
0.0720721,-2.05983
0.0910911,-2.07222
0.11011,-2.08297
0.129129,-2.09204
0.148148,-2.09938
0.167167,-2.10495
0.186186,-2.10872
0.205205,-2.11064
0.224224,-2.11067
0.243243,-2.10877
0.262262,-2.10489
0.281281,-2.09901
0.3003,-2.09107
0.319319,-2.08103
0.338338,-2.06885
0.357357,-2.0545
0.376376,-2.03793
0.395395,-2.0191
0.414414,-1.99796
0.433433,-1.97449
0.452452,-1.94862
0.471471,-1.92033
0.49049,-1.88958
0.50951,-1.85632
0.528529,-1.8205
0.547548,-1.7821
0.566567,-1.74107
0.585586,-1.69736
0.604605,-1.65094
0.623624,-1.60176
0.642643,-1.54978
0.661662,-1.49497
0.680681,-1.43727
0.6997,-1.37666
0.718719,-1.31308
0.737738,-1.24651
0.756757,-1.17688
0.775776,-1.10417
0.794795,-1.02833
0.813814,-0.949328
0.832833,-0.867113
0.851852,-0.781646
0.870871,-0.692888
0.88989,-0.600795
0.908909,-0.505327
0.927928,-0.406443
0.946947,-0.304102
0.965966,-0.198262
0.984985,-0.088881
1.004,0.0240812
1.02302,0.140666
1.04204,0.260916
1.06106,0.38487
1.08008,0.512572
1.0991,0.644062
1.11812,0.779381
1.13714,0.918572
1.15616,1.06167
1.17518,1.20873
1.19419,1.35978
1.21321,1.51487
1.23223,1.67403
1.25125,1.83732
1.27027,2.00476
1.28929,2.17641
1.30831,2.3523
1.32733,2.53247
1.34635,2.71697
1.36537,2.90584
1.38438,3.09911
1.4034,3.29684
1.42242,3.49905
1.44144,3.7058
1.46046,3.91713
1.47948,4.13306
1.4985,4.35366
1.51752,4.57895
1.53654,4.80899
1.55556,5.0438
1.57457,5.28344
1.59359,5.52794
1.61261,5.77735
1.63163,6.0317
1.65065,6.29104
1.66967,6.55541
1.68869,6.82485
1.70771,7.09941
1.72673,7.37912
1.74575,7.66402
1.76476,7.95416
1.78378,8.24958
1.8028,8.55032
1.82182,8.85641
1.84084,9.16792
1.85986,9.48486
1.87888,9.80729
